City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,gerash,27.9797,54.5167,28.41,20,0,3.21,IR,1691884556
84,usogorsk,64.0357,47.773,17.03,79,95,2.19,RU,1691884556
85,potosi,-19.7437,-66.46,-0.8,68,100,2.9,BO,1691884556
86,ekibastuz,51.1178,74.7132,8.19,86,50,5.3,KZ,1691884557
87,mount isa,-20.019,139.1176,24.52,30,34,3.04,AU,1691884557
88,ketchikan,57.3805,-130.2842,11.31,96,100,4.31,CA,1691884557
89,broken hill,-33.0559,141.466,14.26,64,88,5.02,AU,1691884558
90,anna regina,7.1582,-58.4173,27.88,75,12,4.64,GY,1691884558
91,al abyar,31.5736,20.9752,23.34,69,0,3.55,LY,1691884559
92,tselinnoye,54.3625,63.4247,8.3,63,1,3.31,RU,1691884560
93,al burayqah,28.4778,18.5237,23.18,72,0,5.65,LY,1691884562
94,sebastopol,37.5669,-124.1578,15.84,94,41,3.99,US,1691884562
95,bam,29.7935,58.9379,30.74,15,0,6.74,IR,1691884563
96,moroni,-12.1122,41.9676,24.31,80,1,6.48,KM,1691884563
97,huamachuco,-7.793,-77.96,12.66,61,93,1.58,PE,1691884563
98,leitchfield,37.6862,-86.3802,28.19,69,92,2.34,US,1691884563
99,rajpipla,21.5785,73.3763,24.51,87,87,4.25,IN,1691884564
100,ghadamis,30.7488,8.1842,29.31,30,0,5.53,TN,1691884564
101,mawlaik,24.4048,95.0979,23.69,99,100,0.64,MM,1691884565
102,hajjah,15.8266,43.0006,30.09,50,42,0.85,YE,1691884566
103,berriane,33.5345,4.1102,29.5,23,0,2.57,DZ,1691884567
104,bereznehuvate,47.4467,32.9321,19.16,51,0,1.39,UA,1691884567
105,xinghua,32.9655,120.0269,28.83,75,0,1.72,CN,1691884568
106,tegueste,29.622,-16.5745,23.48,89,2,10.0,ES,1691884570
107,thompson,63.9591,-91.2625,20.66,43,95,5.78,CA,1691884570
108,ifrane,33.4412,-5.1038,22.04,26,5,0.68,MA,1691884571
109,lundazi,-11.8211,32.8092,16.45,66,8,0.85,ZM,1691884571
110,beitbridge,-22.1054,29.3593,17.26,43,3,2.36,BW,1691884571
111,college,70.6033,-147.2282,1.8,97,100,6.76,US,1691884571
112,malkara,40.6644,27.1049,20.69,79,1,7.86,TR,1691884573
113,tosham,28.9008,75.9896,30.0,60,91,6.61,IN,1691884573
114,mangilao village,13.4496,144.7971,26.51,89,40,3.6,GU,1691884574
115,port macquarie,-32.0594,154.047,17.81,62,67,4.46,AU,1691884574
116,vielha,42.7475,0.9823,15.24,87,47,2.69,ES,1691884575
117,almeirim,0.2484,-53.149,26.48,62,70,1.27,BR,1691884575
118,northam,-29.8446,118.5594,12.79,84,82,1.53,AU,1691884575
119,hailar,47.9417,119.6649,17.8,75,4,4.71,CN,1691884576
120,revda,67.3011,36.8044,12.57,94,60,3.94,RU,1691884577
121,mong cai,21.4902,107.812,27.84,83,100,0.72,VN,1691884578
122,tazovsky,73.9468,78.4658,4.75,95,76,4.54,RU,1691884578
123,macheng,31.6192,114.9406,24.36,89,71,3.18,CN,1691884578
124,erdek,40.5785,27.6636,24.25,80,0,11.05,TR,1691884578
125,bahir dar,11.9702,36.0061,20.87,97,97,0.25,ET,1691884579
126,saudarkrokur,64.5821,-19.057,9.36,79,49,0.86,IS,1691884579
127,tympaki,35.1104,24.5799,23.3,60,0,4.02,GR,1691884579
128,kumasi,6.6622,-1.4741,21.78,94,85,2.19,GH,1691884580
129,mudon,16.4683,97.9258,24.35,96,95,1.05,MM,1691884580
130,susuman,66.4857,151.3047,24.54,35,3,1.79,RU,1691884580
131,popondetta,-9.4046,148.4971,26.96,50,97,1.6,PG,1691884581
132,andovoranto,-19.5925,50.0372,23.3,83,11,4.02,MG,1691884582
133,negombo,7.2846,78.9671,26.88,84,88,9.46,LK,1691884583
134,mosjoen,66.1464,12.9949,13.81,91,100,2.51,NO,1691884583
135,anadyr,64.2307,173.8574,17.68,63,57,3.99,RU,1691884584
136,camargo,27.8333,-104.1706,31.93,27,41,2.1,MX,1691884584
137,wa,9.8768,-1.7342,23.7,94,97,1.94,GH,1691884584
138,kill devil hills,36.6248,-75.1047,27.55,80,48,5.0,US,1691884585
139,yankton,43.2258,-97.7055,30.96,48,2,2.88,US,1691884585
